Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Suriname,Пахомов Нестор Феодосьевич,Boca Juniors,полузащитник,1,23
Pitcairn,Калашников Емельян Харлампович,Liverpool,вратарь,3,-6
Nauru,Брагин Сократ Артурович,Racing,защитник,3,4
Swaziland,Иванов Мирон Фадеевич,Monaco,нападающий,6,12
Uruguay,Маслов Вениамин Харлампьевич,Athletic Bilbao,нападающий,5,12
United Arab Emirates,Капустин Сергей Гурьевич,Linfield,полузащитник,6,5
Cayman Islands,Мамонтов Никон Фокич,Malmö,вратарь,10,-6
Samoa,Туров Леон Харлампович,Peñarol,нападающий,6,1
Cyprus,Носков Ладимир Аксёнович,Vasco da Gama,полузащитник,6,30
Cuba,Ершов Арсений Глебович,Club Brugge,нападающий,3,26
Cameroon,Фадеев Пахом Валерьевич,Colo-Colo,вратарь,7,-16
Albania,Комаров Мартьян Германович,CSKA Sofia,нападающий,1,7
Canada,Кошелев Ермолай Исидорович,Borussia Mönchengladbach,полузащитник,5,6
El Salvador,Меркушев Кир Елисеевич,Slavia Prague,защитник,3,20
Canada,Тимофеев Потап Фокич,São Paulo,вратарь,10,-27
Georgia,Кулагин Климент Тимурович,Juventus,нападающий,7,19
Bhutan,Крюков Ян Харламович,Manchester United,нападающий,8,11
Portugal,Гаврилов Аполлинарий Виленович,Rapid Wien,защитник,1,30
Seychelles,Баранов Арсений Валентинович,Köln,полузащитник,3,8
France,Громов Конон Эдуардович,San Lorenzo,защитник,3,4
New Zealand,Симонов Селиван Дмитриевич,Borussia Mönchengladbach,вратарь,5,-14
Netherlands Antilles,Козлов Лука Жоресович,Olympiacos,полузащитник,4,30
Sudan,Бобылев Виталий Фролович,Athletic Bilbao,полузащитник,5,6
United Arab Emirates,Фокин Модест Ефимович,Grasshopper Club Zürich,вратарь,2,-29
Philippines,Ларионов Ермолай Дорофеевич,Olympique Marseille,вратарь,8,-19
Mali,Ильин Всеволод Ааронович,Austria Wien,нападающий,10,12
Antigua And Barbuda,Корнилов Арефий Герасимович,CSKA Sofia,полузащитник,6,4
United Kingdom,Ильин Любосмысл Всеволодович,Atlético Madrid,вратарь,5,-3
Iraq,Ефремов Авксентий Тихонович,Aston Villa,полузащитник,8,3
Kuwait,Маслов Евгений Чеславович,Cerro Porteño,нападающий,2,11
French S. Territories,Гордеев Андрей Исидорович,Porto,защитник,1,9
Poland,Кондратьев Феликс Фадеевич,São Paulo,вратарь,1,-18
Papua New Guinea,Горбунов Парамон Иларионович,Dynamo Kyiv,нападающий,3,12
Honduras,Орехов Евгений Харлампьевич,Nacional,нападающий,9,5
Guam,Никонов Никанор Харитонович,Universidad Católica,защитник,1,30
El Salvador,Богданов Валерий Устинович,Club Brugge,полузащитник,7,16
Gibraltar,Гришин Станимир Витальевич,Universidad Católica,полузащитник,5,4
Netherlands Antilles,Орехов Эрнст Ермолаевич,Racing,защитник,10,17
Anguilla,Петухов Авдей Денисович,Sporting,полузащитник,5,14
Papua New Guinea,Носков Мирослав Ильич,Boca Juniors,полузащитник,8,24
Greenland,Константинов Боян Бориславович,Olympique Lyonnais,полузащитник,3,14
Congo,Максимов Януарий Фомич,Boca Juniors,полузащитник,2,25
Albania,Константинов Олег Владленович,Roma,нападающий,2,22
Brazil,Блохин Моисей Ефстафьевич,Roma,нападающий,1,17
Denmark,Белозеров Фадей Владленович,Flamengo,нападающий,7,28
Tajikistan,Потапов Герман Архипович,Peñarol,полузащитник,4,2
Comoros,Поляков Ян Федосьевич,Manchester United,вратарь,3,-10
Angola,Шестаков Любомир Владиленович,Dinamo Zagreb,нападающий,3,7
Tajikistan,Лобанов Юрий Фадеевич,IFK Göteborg,вратарь,3,-11
Iran,Лазарев Панкрат Трифонович,Hajduk Split,защитник,1,1
Antigua And Barbuda,Гурьев Архип Игнатьевич,Ferencvárosi TC,нападающий,3,29
Anguilla,Чернов Емельян Яковлевич,River Plate,нападающий,4,4
Greenland,Цветков Игнатий Фролович,Internacional,нападающий,2,11
Singapore,Большаков Антонин Вячеславович,Dynamo Kyiv,полузащитник,4,27
Portugal,Ларионов Ратибор Игнатович,Galatasaray,полузащитник,7,5
Equatorial Guinea,Родионов Руслан Елизарович,Manchester United,нападающий,3,1
Nicaragua,Кириллов Селиверст Вилорович,MTK Budapest,полузащитник,2,14
Christmas Island,Одинцов Кондрат Зиновьевич,Universidad de Chile,нападающий,7,14
Northern Mariana Islands,Блохин Аскольд Глебович,Atlético Mineiro,защитник,1,7
Lesotho,Устинов Прохор Тарасович,Peñarol,полузащитник,7,9
Cook Islands,Зыков Ульян Адрианович,Palmeiras,вратарь,2,-7
Solomon Islands,Галкин Авдей Харитонович,Club América,полузащитник,2,3
Costa Rica,Симонов Вацлав Егорович,Ajax,вратарь,2,-27
American Samoa,Русаков Ким Геннадиевич,Újpest,защитник,9,20
Kazakhstan,Шилов Селиван Германович,Levski Sofia,защитник,9,16
Liechtenstein,Горшков Аскольд Матвеевич,Vélez Sarsfield,нападающий,10,1
Norfolk Island,Козлов Иларион Анатольевич,Barcelona,вратарь,7,-24
Bolivia,Исаков Родион Димитриевич,Lazio,нападающий,4,14
United Arab Emirates,Александров Кондратий Трофимович,Monaco,полузащитник,9,27
Solomon Islands,Селезнев Никодим Филиппович,Feyenoord,полузащитник,4,21
Myanmar,Кириллов Мартын Авдеевич,Slavia Prague,защитник,2,24
Albania,Селезнев Орест Ермолаевич,Atlético Madrid,полузащитник,2,23
Germany,Калинин Георгий Иосифович,A.C. Milan,полузащитник,1,18
Japan,Афанасьев Евстафий Венедиктович,Juventus,полузащитник,8,24
Uzbekistan,Герасимов Фадей Денисович,Boca Juniors,вратарь,7,-10
Cayman Islands,Симонов Тарас Бориславович,Slavia Prague,полузащитник,3,28
Turkey,Пестов Аггей Фадеевич,Girondins de Bordeaux,вратарь,6,-26
Kazakhstan,Тихонов Ипполит Анатольевич,Paris Saint-Germain,полузащитник,6,29
Bermuda,Степанов Семен Георгиевич,Benfica,защитник,8,5
Andorra,Матвеев Филипп Ярославович,Libertad,защитник,4,28
Cuba,Анисимов Владислав Фёдорович,River Plate,защитник,6,14
Palau,Баранов Митофан Ильясович,Hamburger SV,полузащитник,8,22
Nigeria,Устинов Ярослав Харламович,Ajax,вратарь,8,-2
Switzerland,Пахомов Михей Владленович,A.C. Milan,защитник,5,8
Bulgaria,Хохлов Иосиф Викторович,Olympiacos,нападающий,8,13
Bahrain,Фомин Аполлон Даниилович,Espérance,защитник,7,2
Saint Lucia,Марков Демид Ануфриевич,Levski Sofia,полузащитник,2,28
Yemen,Лапин Ираклий Ильясович,Ferencvárosi TC,защитник,8,30
Portugal,Назаров Любосмысл Захарьевич,Grêmio,защитник,7,12
Lithuania,Доронин Лаврентий Дорофеевич,Linfield,защитник,6,2
Puerto Rico,Ильин Николай Всеволодович,Steaua Bucureşti,полузащитник,2,5
Israel,Пахомов Иосиф Исидорович,Újpest,защитник,5,20
Iraq,Авдеев Варфоломей Георгиевич,Red Star Belgrade,вратарь,9,-4
Korea (North),Игнатов Феоктист Арсенович,Inter Milan,нападающий,1,15
Indonesia,Федосеев Алексей Викентьевич,Juventus,защитник,8,28
Sierra Leone,Панов Феликс Брониславович,Partizan,нападающий,2,20
Cyprus,Журавлев Давыд Евстигнеевич,Real Madrid,нападающий,7,1
Uruguay,Большаков Варфоломей Жоресович,Hamburger SV,защитник,1,23
Malaysia,Соболев Максим Фёдорович,Olympiacos,защитник,9,16
Malaysia,Матвеев Эмиль Ааронович,Levski Sofia,защитник,4,11
Laos,Романов Елисей Тарасович,Porto,защитник,4,11
Afghanistan,Ильин Ферапонт Артемьевич,Benfica,нападающий,2,8
Azerbaijan,Князев Остромир Абрамович,Palmeiras,нападающий,4,19
Gibraltar,Наумов Исидор Яковлевич,Galatasaray,защитник,2,14
Iceland,Шаров Силантий Анатольевич,PSV Eindhoven,нападающий,4,11
United Arab Emirates,Рогов Дементий Августович,Olimpia,вратарь,1,-29
Jamaica,Романов Милий Елисеевич,Peñarol,нападающий,10,24
Grenada,Шубин Ким Жоресович,Manchester United,полузащитник,5,8
Mauritania,Владимиров Ратибор Трифонович,Torino,вратарь,10,-7
Denmark,Медведев Ермил Адамович,Celtic,нападающий,3,30
Croatia,Алексеев Игнатий Архипович,Lazio,защитник,7,4
Madagascar,Игнатьев Герасим Филиппович,Aston Villa,защитник,9,4
Morocco,Аксенов Соломон Исидорович,Athletic Bilbao,полузащитник,7,11
Cambodia,Гаврилов Мокей Валерианович,Manchester United,полузащитник,8,19
Macedonia,Гаврилов Ратмир Еремеевич,Slavia Prague,защитник,8,24
St.Pierre,Русаков Ираклий Андреевич,Bayern Munich,вратарь,3,-10
Nigeria,Ильин Влас Власович,Olimpia,нападающий,1,4
Senegal,Аксенов Прокофий Матвеевич,PSV Eindhoven,полузащитник,2,29
Lithuania,Исаков Сергей Зиновьевич,Juventus,полузащитник,10,25
Greenland,Марков Валентин Афанасьевич,Universidad Católica,нападающий,6,29
Senegal,Носков Болеслав Феофанович,Vasco da Gama,нападающий,10,3
Taiwan,Давыдов Исидор Ильич,Club Brugge,защитник,1,15
French Guiana,Меркушев Иларион Венедиктович,Saint-Étienne,защитник,3,5
Puerto Rico,Ларионов Денис Ануфриевич,Celtic,защитник,7,25
Rwanda,Субботин Аверкий Чеславович,Independiente,нападающий,4,3
Guinea,Корнилов Андрей Измаилович,Levski Sofia,защитник,3,7
Australia,Ширяев Ефим Давидович,Espérance,вратарь,6,-27
Malta,Самсонов Варлаам Евсеевич,Rapid Wien,полузащитник,4,20
Jamaica,Морозов Изот Исидорович,A.C. Milan,нападающий,6,23
Latvia,Агафонов Еремей Филиппович,San Lorenzo,вратарь,9,-17
Sierra Leone,Петров Аскольд Трифонович,Dynamo Kyiv,вратарь,10,-23
French S. Territories,Рожков Будимир Давидович,Slavia Prague,нападающий,1,21
Papua New Guinea,Тетерин Ладислав Жанович,Ferencvárosi TC,полузащитник,3,2
Mexico,Волков Максим Иосипович,Independiente,нападающий,1,22
Cameroon,Шарапов Артемий Гертрудович,Santos,вратарь,9,-20
Peru,Лобанов Светозар Брониславович,Torino,вратарь,3,-23
Cambodia,Виноградов Селиван Гавриилович,Internacional,нападающий,2,16
Papua New Guinea,Матвеев Натан Якубович,Hajduk Split,полузащитник,8,4
Zimbabwe,Моисеев Игнатий Харитонович,Olimpia,защитник,5,24
Zambia,Афанасьев Пров Фёдорович,Spartak Moscow,вратарь,9,-9
Mali,Селезнев Юлий Фомич,Atlético Nacional,защитник,7,24
Cuba,Некрасов Фотий Бенедиктович,Galatasaray,вратарь,8,-18
Martinique,Дьячков Любосмысл Захарьевич,Independiente,нападающий,3,9
Zambia,Федосеев Антонин Владиленович,Girondins de Bordeaux,защитник,7,22
Bermuda,Авдеев Федот Даниилович,Manchester United,защитник,4,24
Egypt,Зыков Георгий Викентьевич,Inter Milan,защитник,8,21
Sierra Leone,Никонов Вацлав Дорофеевич,Monaco,полузащитник,1,2
Belize,Григорьев Милован Давидович,Club América,вратарь,3,-29
Kenya,Шилов Тит Аксёнович,Borussia Mönchengladbach,вратарь,7,-22
Tuvalu,Устинов Трифон Данилович,Porto,полузащитник,1,23
Swaziland,Беляев Адриан Ефимович,CSKA Sofia,полузащитник,6,28
Ethiopia,Богданов Владилен Гурьевич,Racing,защитник,1,2
Colombia,Доронин Глеб Марсович,Slavia Prague,вратарь,9,-14
Bhutan,Попов Юлий Гертрудович,Sporting,вратарь,3,-2
Yugoslavia,Гордеев Мариан Елизарович,San Lorenzo,полузащитник,2,10
Morocco,Дорофеев Варлаам Давыдович,Dinamo Zagreb,вратарь,5,-20
Togo,Лыткин Всеволод Ануфриевич,Paris Saint-Germain,нападающий,5,13
Guyana,Шилов Авксентий Викторович,Atlético Mineiro,нападающий,10,1
Saint Lucia,Борисов Ферапонт Фомич,Roma,полузащитник,9,21
Pakistan,Данилов Наркис Матвеевич,Slavia Prague,защитник,3,17
Niue,Коновалов Любим Валерьянович,Girondins de Bordeaux,вратарь,5,-11
Brunei Darussalam,Мухин Стоян Зиновьевич,Napoli,защитник,8,22
Niger,Цветков Лаврентий Зиновьевич,Bayern Munich,нападающий,10,2
Qatar,Афанасьев Никифор Егорович,Sporting,вратарь,4,-27
Montserrat,Носков Осип Игоревич,Tottenham Hotspur,полузащитник,7,16
Chad,Чернов Милован Еремеевич,Grasshopper Club Zürich,нападающий,7,8
Malawi,Вишняков Святослав Арсеньевич,Internacional,вратарь,1,-10
Qatar,Дорофеев Нифонт Валерианович,Cruzeiro,нападающий,3,18
Mayotte,Анисимов Сила Филимонович,IFK Göteborg,полузащитник,3,28
Guam,Молчанов Натан Арсеньевич,Boca Juniors,нападающий,4,16
Tunisia,Иванов Ермил Фёдорович,Levski Sofia,вратарь,8,-2
Cote D`ivoire,Дорофеев Платон Тимурович,Inter Milan,полузащитник,1,4
Mauritania,Наумов Родион Фролович,Universitario,полузащитник,2,10
Guyana,Павлов Вацлав Андреевич,Steaua Bucureşti,защитник,6,17
Thailand,Пахомов Сидор Харлампьевич,MTK Budapest,защитник,7,10
New Zealand,Киселев Максимильян Григорьевич,Al Ahly,защитник,2,25
Tuvalu,Якушев Самуил Иосифович,Hajduk Split,полузащитник,6,21
Cameroon,Никифоров Боян Анатольевич,Bayern Munich,вратарь,5,-14
Argentina,Федоров Евстафий Артёмович,Köln,полузащитник,7,29
Seychelles,Котов Владислав Харлампович,Universidad Católica,нападающий,3,22
Congo,Кудрявцев Фотий Богданович,Universitario,вратарь,4,-2
Costa Rica,Бобров Викторин Ефимьевич,Saint-Étienne,защитник,8,4
Chad,Агафонов Денис Аксёнович,PSV Eindhoven,вратарь,1,-17
Angola,Артемьев Федор Эдгарович,Napoli,нападающий,8,17
Morocco,Филиппов Марк Трифонович,River Plate,вратарь,3,-17
Mayotte,Исаков Милан Федосеевич,Dinamo Bucureşti,вратарь,8,-20
Sierra Leone,Дементьев Флорентин Арсенович,América de Cali,полузащитник,7,22
Saint Kitts And Nevis,Шарапов Матвей Фадеевич,Monaco,вратарь,5,-21
Mexico,Никифоров Игнатий Фадеевич,Real Madrid,нападающий,10,29
Portugal,Соболев Ефим Игоревич,Barcelona,защитник,1,20
Micronesia,Журавлев Федот Демьянович,São Paulo,защитник,2,21
Turkey,Ситников Леонтий Артурович,Celtic,вратарь,2,-21
Estonia,Владимиров Самсон Иосипович,Aston Villa,вратарь,10,-21
Bosnia And Herzegowina,Копылов Юлий Исидорович,Atlético Mineiro,полузащитник,10,15
Sweden,Смирнов Степан Фадеевич,Köln,вратарь,5,-21
Dominica,Степанов Давыд Елизарович,Athletic Bilbao,защитник,2,15
Marshall Islands,Пономарев Артем Демидович,Panathinaikos,вратарь,6,-28
Pakistan,Королев Евлампий Всеволодович,Torino,полузащитник,9,19
Puerto Rico,Кулаков Макар Чеславович,Werder Bremen,защитник,9,1
Faroe Islands,Шарапов Лаврентий Германович,Universidad de Chile,нападающий,2,10
Faroe Islands,Князев Севастьян Ермилович,Red Star Belgrade,защитник,1,23
Uganda,Кондратьев Игорь Феодосьевич,Barcelona,защитник,1,11
Palau,Корнилов Сидор Власович,Valencia,нападающий,2,28
Cape Verde,Брагин Валентин Ефстафьевич,Nacional,защитник,8,28
Pitcairn,Одинцов Ладислав Филиппович,Vélez Sarsfield,полузащитник,1,15
Martinique,Потапов Мокей Харлампович,Barcelona,нападающий,6,21
Moldova,Зуев Мина Гаврилович,River Plate,вратарь,4,-4
United Kingdom,Николаев Радим Харламович,Steaua Bucureşti,нападающий,2,28
Morocco,Фокин Флорентин Власович,Athletic Bilbao,вратарь,1,-10
Burkina Faso,Дьячков Панкратий Дорофеевич,Feyenoord,нападающий,10,19
South Africa,Меркушев Терентий Захарьевич,Valencia,защитник,10,24
Philippines,Буров Гостомысл Адрианович,Manchester United,полузащитник,1,2
Afghanistan,Беляков Исидор Тимурович,Atlético Nacional,защитник,2,25
Bhutan,Николаев Тит Артурович,Liverpool,вратарь,3,-9
Korea (South),Кузьмин Варлаам Глебович,Hamburger SV,вратарь,5,-5
East Timor,Сидоров Мартын Устинович,Lazio,полузащитник,7,1
St Vincent/Grenadines,Богданов Мирослав Венедиктович,Nacional,полузащитник,2,17
Spain,Зиновьев Кондрат Марсович,Club América,защитник,4,15
Aruba,Дьячков Герман Денисович,San Lorenzo,нападающий,7,22
Cayman Islands,Туров Роман Марсович,Athletic Bilbao,вратарь,1,-7
Brunei Darussalam,Уваров Сократ Абрамович,Fiorentina,защитник,3,28
Sudan,Устинов Трифон Якубович,Paris Saint-Germain,нападающий,1,4
Christmas Island,Соколов Мечислав Артурович,Everton,вратарь,7,-25
Andorra,Игнатов Станимир Ерофеевич,Olimpia,защитник,3,6
Guinea-bissau,Романов Евстафий Марсович,Real Madrid,вратарь,3,-5
French Polynesia,Куликов Николай Аверьянович,Olympique Marseille,защитник,5,28
South Africa,Веселов Афиноген Юльевич,A.C. Milan,защитник,1,15
Martinique,Королев Семен Ааронович,Athletic Bilbao,полузащитник,2,16
China,Стрелков Владимир Аверьянович,Dinamo Bucureşti,полузащитник,3,24
Russian Federation,Данилов Всеслав Елизарович,Colo-Colo,защитник,3,3
Tunisia,Веселов Филипп Германович,Slavia Prague,вратарь,9,-2
Moldova,Кириллов Вячеслав Анатольевич,Steaua Bucureşti,нападающий,3,7
Tokelau,Устинов Святослав Юлианович,San Lorenzo,защитник,7,9
Micronesia,Дмитриев Антонин Демидович,Dinamo Zagreb,полузащитник,4,27
Bulgaria,Журавлев Сильвестр Фёдорович,Club América,вратарь,5,-26
Brunei Darussalam,Белов Мефодий Федотович,Sporting,полузащитник,9,22
Saint Lucia,Макаров Юлий Викентьевич,Inter Milan,вратарь,8,-9
Mauritania,Абрамов Венедикт Фомич,Olimpia,защитник,5,29
Dominica,Колесников Авдей Глебович,Benfica,вратарь,6,-18
Croatia,Фролов Якуб Гурьевич,Universidad de Chile,нападающий,6,19
Greece,Зимин Аггей Демидович,Red Star Belgrade,вратарь,7,-25
Belize,Ермаков Федосий Георгиевич,Inter Milan,нападающий,10,19
Ukraine,Ермаков Аристарх Викентьевич,Dynamo Kyiv,защитник,7,30
Namibia,Крылов Афиноген Эдуардович,Everton,нападающий,7,11
Iran,Павлов Мстислав Устинович,MTK Budapest,полузащитник,2,14
Portugal,Давыдов Кондрат Димитриевич,Újpest,нападающий,8,10
Macau,Кириллов Доброслав Матвеевич,Cruzeiro,нападающий,3,19
Ghana,Кириллов Мечислав Артемьевич,Levski Sofia,полузащитник,2,6
United Arab Emirates,Блохин Арсений Эдгарович,Porto,полузащитник,1,19
Taiwan,Ларионов Григорий Гертрудович,Paris Saint-Germain,защитник,1,1
Italy,Филиппов Харитон Валерьянович,Olympique Lyonnais,полузащитник,4,27
Gibraltar,Голубев Андрон Евстигнеевич,Sporting,полузащитник,9,12
Sweden,Жданов Любомир Герасимович,Levski Sofia,полузащитник,7,28
Australia,Зыков Изот Ермолаевич,Universidad de Chile,защитник,5,10
Morocco,Одинцов Святополк Валерьевич,São Paulo,вратарь,2,-27
Faroe Islands,Гусев Мартьян Марсович,Girondins de Bordeaux,защитник,10,29
Eritrea,Вишняков Кондрат Давидович,Peñarol,нападающий,9,8
Netherlands Antilles,Ситников Филипп Терентьевич,Bayern Munich,вратарь,7,-7
Cote D`ivoire,Соловьев Виссарион Архипович,Espérance,вратарь,4,-5
Singapore,Суханов Кир Гертрудович,Racing,защитник,8,20
Puerto Rico,Смирнов Прохор Вячеславович,Levski Sofia,нападающий,1,30
Belarus,Антонов Аггей Трифонович,IFK Göteborg,полузащитник,7,2
Hungary,Романов Данила Филимонович,Dynamo Kyiv,защитник,6,3
Australia,Аксенов Евстигней Ермолаевич,Valencia,полузащитник,3,2
Mexico,Калинин Никита Харлампович,Internacional,нападающий,4,24
Seychelles,Кудряшов Тихон Владленович,Rapid Wien,защитник,1,14
Chile,Михеев Гедеон Аксёнович,Austria Wien,полузащитник,10,4
Kyrgyzstan,Данилов Панкратий Ермилович,Olympiacos,защитник,10,17
Germany,Воробьев Игнатий Тарасович,Monaco,защитник,3,30
Guatemala,Максимов Сидор Изотович,IFK Göteborg,вратарь,3,-11
Barbados,Смирнов Соломон Харламович,Rapid Wien,вратарь,2,-24
Algeria,Власов Гедеон Артёмович,Cruzeiro,нападающий,6,7
Antigua And Barbuda,Наумов Азарий Харлампович,Werder Bremen,нападающий,10,15
French S. Territories,Устинов Гаврила Иосипович,Linfield,нападающий,7,5
Nauru,Петров Конон Фомич,Club Brugge,нападающий,1,24
Iceland,Федотов Нифонт Августович,Palmeiras,вратарь,8,-20
Kazakhstan,Брагин Мина Эдгарович,Atlético Madrid,защитник,6,17
Lebanon,Борисов Фадей Глебович,Everton,полузащитник,10,13
Christmas Island,Трофимов Макар Трофимович,Benfica,полузащитник,3,30
Egypt,Цветков Евлампий Абрамович,Racing,защитник,9,8
Virgin Islands (British),Фролов Галактион Харитонович,Slavia Prague,защитник,3,26
Canada,Голубев Мефодий Ермилович,Atlético Madrid,защитник,2,3
Poland,Соловьев Матвей Александрович,Porto,вратарь,7,-18
St. Helena,Ершов Лукьян Федотович,Club América,защитник,6,22
Tonga,Тимофеев Стоян Ильич,Malmö,нападающий,2,28
India,Костин Азарий Борисович,Valencia,полузащитник,7,29
Indonesia,Моисеев Гостомысл Эдгарович,Ferencvárosi TC,защитник,9,6
Kyrgyzstan,Жуков Ермил Иосипович,Spartak Moscow,вратарь,1,-4
Angola,Дорофеев Христофор Фокич,Celtic,нападающий,3,22
Solomon Islands,Костин Венедикт Харитонович,Athletic Bilbao,нападающий,4,1
Grenada,Пахомов Порфирий Фёдорович,Chelsea,полузащитник,10,2
Mauritius,Кошелев Поликарп Демидович,San Lorenzo,полузащитник,3,28
Bermuda,Ситников Парамон Августович,Club América,полузащитник,9,13
Togo,Котов Пров Артёмович,Independiente,нападающий,3,26
Niue,Данилов Зиновий Жоресович,Celtic,вратарь,2,-22
Zambia,Ильин Кондратий Артурович,Universitario,нападающий,10,29
Korea (South),Жуков Вацлав Марсович,Aston Villa,полузащитник,1,29
Micronesia,Буров Ульян Виленович,Red Star Belgrade,нападающий,4,22
Bahrain,Матвеев Амвросий Анатольевич,Hajduk Split,нападающий,1,7
Rwanda,Воронов Пимен Георгиевич,Olimpia,полузащитник,2,29
Zambia,Агафонов Афиноген Данилович,MTK Budapest,вратарь,8,-10
French Guiana,Сорокин Евлампий Александрович,Atlético Nacional,защитник,7,26
Tuvalu,Белоусов Фотий Алексеевич,Grasshopper Club Zürich,вратарь,2,-15
Zaire,Блохин Кир Адамович,IFK Göteborg,полузащитник,9,15
Malaysia,Кулаков Лукьян Алексеевич,IFK Göteborg,нападающий,2,12
Guatemala,Ковалев Устин Арсенович,Independiente,вратарь,8,-21
Bouvet Island,Иванов Аггей Ермилович,Atlético Mineiro,полузащитник,8,2
Estonia,Маслов Арсений Гаврилович,Olympiacos,защитник,10,3
France,Кононов Сергей Филатович,Universitario,полузащитник,7,2
Israel,Гурьев Федосий Федотович,Universitario,полузащитник,6,12
Netherlands,Никифоров Ратибор Вилорович,Schalke,вратарь,7,-23
Finland,Меркушев Мирослав Эдгарович,Racing,защитник,7,23
Liberia,Зуев Варфоломей Трифонович,Olympique Marseille,защитник,4,27
Nigeria,Панфилов Натан Борисович,Aston Villa,полузащитник,2,13
Dominican Republic,Рогов Галактион Георгиевич,Borussia Dortmund,нападающий,5,29
Viet Nam,Лукин Парамон Викентьевич,Boca Juniors,вратарь,10,-15
Gambia,Соболев Вышеслав Жоресович,Barcelona,нападающий,8,27
Tanzania,Кириллов Андрон Теймуразович,Benfica,полузащитник,3,19
Sierra Leone,Романов Леон Матвеевич,PSV Eindhoven,нападающий,7,22
Haiti,Игнатьев Ипатий Иларионович,Libertad,вратарь,4,-9
Greece,Ильин Модест Чеславович,Spartak Moscow,нападающий,1,20
Vatican City State,Мартынов Никандр Валерианович,Peñarol,нападающий,7,30
Turkey,Самойлов Тимофей Игоревич,Fiorentina,полузащитник,3,4
Colombia,Ширяев Гаврила Евстигнеевич,São Paulo,вратарь,4,-25
Falkland Islands (Malvinas),Васильев Исидор Жанович,San Lorenzo,защитник,7,7
Kiribati,Беляев Вячеслав Евсеевич,Atlético Madrid,защитник,3,7
Afghanistan,Лазарев Митофан Ааронович,Feyenoord,вратарь,6,-2
Argentina,Воронцов Савва Владленович,IFK Göteborg,вратарь,9,-22
United Arab Emirates,Комаров Никифор Ааронович,A.C. Milan,нападающий,6,1
Canada,Лукин Вацлав Феофанович,Tottenham Hotspur,полузащитник,9,28
Finland,Фокин Эраст Елисеевич,Vasco da Gama,нападающий,10,1
Swaziland,Титов Демьян Харлампьевич,Internacional,нападающий,5,29
Hungary,Сафонов Евгений Фокич,Steaua Bucureşti,нападающий,5,9
Burundi,Авдеев Вышеслав Артурович,Cerro Porteño,защитник,3,11
India,Михеев Конон Денисович,San Lorenzo,защитник,3,15
Latvia,Никитин Нифонт Георгиевич,Torino,полузащитник,5,10
Solomon Islands,Соболев Руслан Игнатьевич,Universidad de Chile,вратарь,7,-22
Italy,Николаев Федот Харлампович,Fenerbahçe,нападающий,8,8
Cocos Islands,Субботин Арсений Викентьевич,Chelsea,полузащитник,3,7
Puerto Rico,Брагин Захар Викентьевич,Chelsea,защитник,2,24
Panama,Буров Зиновий Вилорович,River Plate,нападающий,6,11
Colombia,Носков Григорий Анатольевич,Club América,полузащитник,6,6
Viet Nam,Сазонов Зосима Харлампович,Dynamo Kyiv,нападающий,3,14
Iran,Буров Серафим Витальевич,Panathinaikos,нападающий,2,26
Hong Kong,Михайлов Касьян Гавриилович,Vasco da Gama,полузащитник,9,19
Comoros,Никонов Мефодий Измаилович,Malmö,вратарь,4,-18
Togo,Козлов Валерий Ерофеевич,Tottenham Hotspur,полузащитник,10,26
Tanzania,Голубев Артем Геннадиевич,Boca Juniors,нападающий,2,21
French Polynesia,Соколов Иван Харлампьевич,Hamburger SV,защитник,4,20
Korea (South),Афанасьев Гурий Васильевич,Grêmio,нападающий,8,14
Cayman Islands,Фомин Вениамин Егорович,Universidad Católica,вратарь,8,-2
Faroe Islands,Тимофеев Фотий Юлианович,Everton,защитник,1,28
Fiji,Рябов Архип Иосифович,Flamengo,полузащитник,6,4
Nigeria,Гущин Орест Фокич,Porto,нападающий,10,22
Albania,Семенов Нестор Чеславович,Nacional,вратарь,3,-19
Haiti,Цветков Данила Харлампович,River Plate,полузащитник,2,17
Botswana,Гришин Никанор Бориславович,Manchester United,нападающий,5,14
Russian Federation,Журавлев Эрнст Арсеньевич,Athletic Bilbao,вратарь,3,-28
Switzerland,Соколов Радим Абрамович,Grêmio,вратарь,2,-10
Bahamas,Костин Харлампий Гертрудович,Linfield,полузащитник,9,27
Micronesia,Колобов Модест Ильич,Dinamo Zagreb,полузащитник,8,14
Moldova,Суханов Януарий Евсеевич,Athletic Bilbao,защитник,6,7
Bosnia And Herzegowina,Константинов Аристарх Марсович,Atlético Mineiro,полузащитник,2,7
Belgium,Казаков Святослав Германович,Austria Wien,защитник,8,29
Venezuela,Лаврентьев Валерий Изотович,América de Cali,полузащитник,9,6
Kuwait,Журавлев Дорофей Вячеславович,Rangers,полузащитник,10,25
Philippines,Юдин Филарет Адамович,Borussia Dortmund,вратарь,5,-12
Gambia,Фролов Пров Валерьянович,Sporting,вратарь,7,-17
Indonesia,Егоров Петр Жоресович,América de Cali,вратарь,2,-28
Congo,Брагин Ратмир Вячеславович,Köln,полузащитник,3,13
Hong Kong,Потапов Никифор Филимонович,Palmeiras,вратарь,4,-9
Latvia,Мухин Поликарп Иосифович,Hamburger SV,полузащитник,3,29
Mayotte,Третьяков Наум Ааронович,Dynamo Kyiv,защитник,7,12
Mauritius,Гуляев Стоян Викентьевич,Nacional,полузащитник,10,28
