Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Faroe Islands,Туров Адриан Данилович,Porto,нападающий,5,6
East Timor,Пестов Ипат Фролович,Ferencvárosi TC,защитник,6,14
Guatemala,Романов Ратмир Яковлевич,Olympiacos,нападающий,1,10
Jamaica,Киселев Добромысл Афанасьевич,Athletic Bilbao,нападающий,8,7
Central African Rep,Исаков Борис Харитонович,Bayern Munich,вратарь,5,-13
Andorra,Гришин Григорий Давыдович,Aston Villa,полузащитник,8,6
Comoros,Щукин Виктор Владиславович,Arsenal,полузащитник,6,28
Cote D`ivoire,Дьячков Фока Ефимьевич,Steaua Bucureşti,защитник,9,2
Saudi Arabia,Лыткин Ипполит Герасимович,Corinthians,полузащитник,2,12
Libya,Афанасьев Боян Терентьевич,Liverpool,нападающий,7,9
Albania,Гурьев Лука Давидович,CSKA Sofia,защитник,2,29
Micronesia,Попов Тимур Августович,Flamengo,защитник,7,15
Barbados,Архипов Евстафий Авдеевич,Girondins de Bordeaux,полузащитник,5,9
Gabon,Рыбаков Сила Афанасьевич,Monaco,вратарь,1,-23
Virgin Islands (U.S.),Юдин Савватий Елизарович,América de Cali,полузащитник,4,10
Comoros,Петров Ферапонт Харлампьевич,Palmeiras,полузащитник,7,9
Malta,Жуков Автоном Августович,Aston Villa,вратарь,10,-29
Equatorial Guinea,Молчанов Евграф Ефимович,Corinthians,полузащитник,1,27
Laos,Мишин Емельян Викентьевич,Real Madrid,нападающий,5,18
Sri Lanka,Комиссаров Адриан Вячеславович,IFK Göteborg,нападающий,4,7
Kyrgyzstan,Зуев Георгий Чеславович,Saint-Étienne,вратарь,6,-18
Hungary,Дьячков Потап Августович,Atlético Madrid,вратарь,1,-13
Qatar,Соколов Казимир Фёдорович,Vélez Sarsfield,защитник,4,8
Cambodia,Мамонтов Семен Давыдович,San Lorenzo,вратарь,3,-13
Niger,Комиссаров Христофор Устинович,Olympique Lyonnais,защитник,5,28
Belize,Терентьев Арефий Устинович,Monaco,полузащитник,8,8
Russian Federation,Бобров Милан Витальевич,Borussia Dortmund,вратарь,10,-10
Mexico,Журавлев Александр Денисович,Atlético Nacional,защитник,7,24
Cuba,Ширяев Авдей Валерианович,A.C. Milan,полузащитник,6,22
Nigeria,Большаков Станислав Витальевич,Austria Wien,нападающий,9,14
United Arab Emirates,Субботин Максим Ермилович,Peñarol,нападающий,9,17
Niue,Горбачев Ерофей Игнатьевич,Tottenham Hotspur,полузащитник,4,14
Nicaragua,Абрамов Мефодий Зиновьевич,Schalke,вратарь,5,-22
Tonga,Котов Остап Харламович,Espérance,защитник,5,21
Northern Mariana Islands,Красильников Панфил Зиновьевич,Internacional,вратарь,2,-27
Bosnia And Herzegowina,Доронин Будимир Артёмович,Athletic Bilbao,защитник,1,4
Seychelles,Субботин Елисей Богданович,Borussia Mönchengladbach,защитник,6,23
Zimbabwe,Соболев Исай Яковлевич,Tottenham Hotspur,полузащитник,4,30
Niger,Субботин Кондратий Аверьянович,Universidad de Chile,нападающий,10,3
Armenia,Блинов Всеслав Филиппович,Everton,полузащитник,10,23
Swaziland,Комиссаров Всеволод Ефимьевич,Galatasaray,полузащитник,5,12
Papua New Guinea,Орехов Доброслав Августович,MTK Budapest,вратарь,5,-13
Ireland,Орехов Фотий Ануфриевич,Manchester United,полузащитник,9,9
Austria,Суханов Варфоломей Арсенович,Linfield,вратарь,5,-29
Italy,Никитин Никита Валерьянович,Athletic Bilbao,полузащитник,1,9
Antarctica,Комиссаров Селиверст Юльевич,Olimpia,вратарь,6,-3
Cayman Islands,Тарасов Моисей Адамович,PSV Eindhoven,вратарь,1,-12
French Guiana,Степанов Евграф Гаврилович,Libertad,вратарь,5,-16
Northern Mariana Islands,Фролов Парамон Ефремович,Bayern Munich,защитник,2,25
Marshall Islands,Чернов Ферапонт Демидович,Universidad Católica,защитник,8,12
Fiji,Абрамов Клавдий Иосифович,IFK Göteborg,вратарь,8,-2
Iceland,Симонов Фотий Ермилович,Everton,защитник,5,7
Finland,Чернов Ладислав Фомич,Saint-Étienne,защитник,4,19
Uzbekistan,Орехов Варфоломей Артёмович,Athletic Bilbao,защитник,2,17
Yemen,Рябов Терентий Давидович,Porto,нападающий,7,27
France,Давыдов Роман Артёмович,Sporting,нападающий,8,20
Cambodia,Блохин Глеб Андреевич,Újpest,полузащитник,6,18
Vanuatu,Моисеев Трофим Августович,Inter Milan,нападающий,6,18
Liechtenstein,Большаков Олег Ануфриевич,Köln,вратарь,6,-21
Australia,Мельников Андрей Елисеевич,Real Madrid,вратарь,7,-20
Bhutan,Силин Галактион Харлампьевич,Dinamo Bucureşti,защитник,10,30
Seychelles,Комаров Аверкий Давидович,Feyenoord,защитник,2,16
Kyrgyzstan,Зыков Влас Артурович,São Paulo,защитник,8,26
Ireland,Герасимов Никита Феликсович,Girondins de Bordeaux,защитник,7,22
Japan,Беляев Нестор Валерьянович,Borussia Dortmund,полузащитник,5,20
Kenya,Сысоев Любим Ануфриевич,Club América,полузащитник,1,23
Canada,Доронин Никандр Владиславович,Real Madrid,нападающий,5,14
Burkina Faso,Емельянов Гедеон Федотович,MTK Budapest,нападающий,3,27
South Africa,Филиппов Гремислав Абрамович,Red Star Belgrade,вратарь,1,-19
Niger,Фадеев Никодим Феодосьевич,Galatasaray,защитник,3,5
Haiti,Марков Велимир Терентьевич,Paris Saint-Germain,полузащитник,5,15
Afghanistan,Логинов Януарий Фадеевич,Austria Wien,вратарь,6,-16
Kiribati,Кошелев Гедеон Елизарович,Saint-Étienne,вратарь,1,-22
United Kingdom,Степанов Нестор Иосифович,Ajax,вратарь,2,-26
Maldives,Макаров Владлен Феодосьевич,Fenerbahçe,полузащитник,6,5
Hong Kong,Гурьев Филарет Эдгардович,Ajax,нападающий,9,4
Canada,Матвеев Лонгин Гордеевич,San Lorenzo,защитник,1,26
Yemen,Шарапов Венедикт Ефимьевич,Girondins de Bordeaux,вратарь,5,-23
Bahrain,Яковлев Артем Ефимьевич,Grasshopper Club Zürich,полузащитник,6,1
Macau,Макаров Константин Матвеевич,Rangers,нападающий,8,12
St.Pierre,Кононов Анисим Димитриевич,Grêmio,полузащитник,6,13
Costa Rica,Силин Ладислав Германович,Everton,нападающий,8,8
Mauritania,Большаков Светозар Жанович,São Paulo,вратарь,3,-3
Virgin Islands (British),Никифоров Андроник Витальевич,Olympiacos,полузащитник,9,1
Cambodia,Семенов Лонгин Ильясович,MTK Budapest,нападающий,1,18
Ireland,Пахомов Ипатий Федотович,Grasshopper Club Zürich,вратарь,7,-19
Northern Mariana Islands,Константинов Натан Владиленович,Monaco,защитник,7,2
Zambia,Максимов Аристарх Яковлевич,Manchester United,защитник,9,13
Morocco,Силин Фирс Егорович,Manchester United,защитник,6,1
Burkina Faso,Туров Семен Ефремович,Lazio,защитник,9,5
Gabon,Громов Павел Аксёнович,Sporting,полузащитник,3,4
Madagascar,Николаев Якуб Германович,Cerro Porteño,нападающий,10,27
Canada,Рябов Геннадий Марсович,IFK Göteborg,полузащитник,2,15
Russian Federation,Цветков Панкрат Иосипович,Independiente,защитник,9,16
Liberia,Константинов Адриан Эдгардович,PSV Eindhoven,полузащитник,10,2
Hungary,Емельянов Бажен Абрамович,Feyenoord,вратарь,4,-11
Mauritius,Бобров Лонгин Юльевич,Inter Milan,вратарь,7,-21
Armenia,Кудрявцев Радислав Захарьевич,Fenerbahçe,нападающий,4,26
Bosnia And Herzegowina,Власов Мирон Фомич,Borussia Dortmund,защитник,10,25
Cameroon,Савельев Илья Эдуардович,Napoli,нападающий,3,18
Cayman Islands,Осипов Валерий Иларионович,Corinthians,защитник,5,7
Tuvalu,Ершов Данила Демьянович,Galatasaray,нападающий,4,28
Kuwait,Лихачев Филипп Власович,Sporting,вратарь,10,-5
Somalia,Лаврентьев Ефрем Евсеевич,Rapid Wien,нападающий,5,23
Central African Rep,Евдокимов Селиверст Зиновьевич,Paris Saint-Germain,нападающий,6,6
Ukraine,Виноградов Август Игнатьевич,Racing,полузащитник,3,19
Russian Federation,Елисеев Серафим Артурович,Monaco,нападающий,1,2
Mali,Зиновьев Вениамин Терентьевич,Schalke,полузащитник,6,21
Costa Rica,Афанасьев Любомир Изотович,Anderlecht,вратарь,5,-20
South Africa,Бирюков Трифон Теймуразович,Olympique Marseille,нападающий,9,12
French Guiana,Некрасов Прокл Гурьевич,Lazio,вратарь,2,-25
St.Pierre,Лыткин Виктор Авдеевич,CSKA Sofia,полузащитник,5,21
Chile,Игнатьев Степан Гордеевич,Vélez Sarsfield,полузащитник,6,2
Croatia,Иванов Тихон Брониславович,Monaco,нападающий,7,15
Martinique,Воронов Филимон Устинович,Saint-Étienne,защитник,1,9
Iceland,Сидоров Касьян Исидорович,Linfield,вратарь,6,-10
Jordan,Бобылев Вячеслав Вилорович,Aston Villa,защитник,1,6
Ghana,Сафонов Филимон Гертрудович,Partizan,нападающий,9,11
Malaysia,Шаров Харитон Арсенович,Monaco,вратарь,2,-19
Portugal,Елисеев Андрей Глебович,Atlético Nacional,защитник,2,28
Jamaica,Мясников Ефим Харламович,Austria Wien,защитник,8,1
Norfolk Island,Уваров Прокофий Устинович,Torino,вратарь,8,-26
Saint Lucia,Бирюков Владимир Афанасьевич,Galatasaray,нападающий,7,18
Singapore,Абрамов Вадим Евстигнеевич,Cruzeiro,вратарь,10,-13
Indonesia,Галкин Измаил Якубович,Malmö,защитник,10,23
Jordan,Гришин Адриан Антонович,Olympiacos,нападающий,2,1
French Polynesia,Ефимов Тит Егорович,Feyenoord,полузащитник,8,23
Cook Islands,Веселов Орест Гаврилович,Universidad Católica,полузащитник,10,3
Antarctica,Устинов Климент Бенедиктович,Galatasaray,полузащитник,2,15
Poland,Ильин Артем Елисеевич,Malmö,вратарь,7,-20
Saudi Arabia,Анисимов Иларион Бенедиктович,Chelsea,защитник,5,22
Chad,Хохлов Святослав Ерофеевич,Spartak Moscow,нападающий,2,10
Australia,Кудряшов Климент Владиленович,MTK Budapest,нападающий,8,14
Hungary,Блинов Мирослав Денисович,Grasshopper Club Zürich,полузащитник,5,1
Paraguay,Орлов Мир Ильич,Universidad de Chile,нападающий,8,18
Tuvalu,Фокин Осип Глебович,Cruzeiro,нападающий,9,28
Syrian Arab Republic,Савин Роман Аверьянович,Independiente,защитник,4,12
Mayotte,Вишняков Потап Харламович,Köln,полузащитник,5,24
Tonga,Иванов Игорь Измаилович,Fenerbahçe,вратарь,9,-23
Norway,Исаев Пахом Матвеевич,Libertad,нападающий,10,30
India,Лаврентьев Автоном Анисимович,Rangers,нападающий,8,17
Burkina Faso,Кулаков Исидор Владиславович,Olympique Marseille,защитник,9,24
Luxembourg,Суханов Фотий Аксёнович,MTK Budapest,нападающий,10,7
Senegal,Молчанов Варфоломей Бориславович,Girondins de Bordeaux,вратарь,9,-14
Virgin Islands (British),Кудрявцев Пров Феликсович,Club América,защитник,3,17
Mali,Дроздов Ипат Анисимович,Chelsea,вратарь,2,-3
Ethiopia,Брагин Савва Чеславович,Vélez Sarsfield,нападающий,5,11
Micronesia,Харитонов Герман Феликсович,IFK Göteborg,вратарь,7,-17
Monaco,Белозеров Эммануил Эдгарович,Steaua Bucureşti,защитник,1,15
Pitcairn,Фомин Макар Феофанович,Austria Wien,нападающий,9,22
Paraguay,Логинов Николай Валерьянович,Everton,полузащитник,7,14
Belgium,Давыдов Тимофей Евстигнеевич,MTK Budapest,защитник,9,10
Puerto Rico,Фадеев Прохор Валерианович,Napoli,вратарь,4,-30
Tanzania,Соколов Игнатий Ефимьевич,Fenerbahçe,нападающий,8,21
Hungary,Веселов Дорофей Дорофеевич,Schalke,полузащитник,1,13
Taiwan,Зайцев Евсей Германович,Austria Wien,нападающий,10,27
Slovakia,Алексеев Богдан Фомич,Grasshopper Club Zürich,вратарь,5,-3
Venezuela,Мясников Владислав Игнатьевич,Libertad,вратарь,6,-4
Burkina Faso,Евдокимов Ладимир Эдуардович,Linfield,полузащитник,2,18
Cameroon,Князев Фотий Авдеевич,CSKA Sofia,вратарь,5,-27
South Africa,Николаев Изот Фёдорович,Real Madrid,нападающий,5,3
Hong Kong,Гурьев Святополк Харламович,Feyenoord,вратарь,4,-15
Swaziland,Киселев Тихон Гурьевич,Sparta Prague,полузащитник,2,11
Croatia,Лихачев Марк Владленович,Liverpool,вратарь,8,-25
San Marino,Лобанов Венедикт Феофанович,Olympique Lyonnais,защитник,1,18
Libya,Медведев Феофан Изотович,Red Star Belgrade,защитник,6,7
Japan,Макаров Никодим Абрамович,Internacional,вратарь,5,-22
Comoros,Тетерин Иларион Измаилович,Feyenoord,полузащитник,10,27
St.Pierre,Некрасов Влас Харлампьевич,IFK Göteborg,нападающий,2,10
Ireland,Соболев Егор Жоресович,Linfield,вратарь,1,-20
Virgin Islands (U.S.),Волков Федор Викторович,Fenerbahçe,вратарь,3,-20
United States,Молчанов Аскольд Гаврилович,Corinthians,защитник,1,29
Japan,Шаров Эдуард Артурович,Galatasaray,нападающий,5,25
Netherlands Antilles,Федотов Василий Дорофеевич,Girondins de Bordeaux,полузащитник,8,3
Palau,Власов Леон Игнатьевич,Panathinaikos,нападающий,4,27
Samoa,Козлов Марк Давидович,CSKA Sofia,полузащитник,5,12
Lesotho,Соловьев Флорентин Бориславович,Palmeiras,нападающий,2,28
French Guiana,Громов Матвей Всеволодович,Torino,полузащитник,7,3
Mauritius,Симонов Вячеслав Артёмович,Sporting,полузащитник,2,9
Moldova,Герасимов Порфирий Антипович,Steaua Bucureşti,защитник,3,15
Korea (North),Архипов Илья Иосифович,Sparta Prague,защитник,6,14
Nepal,Данилов Сильвестр Ильясович,IFK Göteborg,полузащитник,10,21
Albania,Агафонов Дорофей Андреевич,Ajax,полузащитник,8,1
Czech Republic,Туров Кондратий Жоресович,Tottenham Hotspur,защитник,6,27
Bahrain,Карпов Велимир Филимонович,Real Madrid,защитник,1,19
Ethiopia,Емельянов Яков Марсович,Cruzeiro,нападающий,10,20
Tunisia,Потапов Азарий Давидович,Racing,нападающий,7,2
Cyprus,Рожков Каллистрат Адрианович,Vasco da Gama,защитник,6,9
Viet Nam,Панфилов Прокофий Аверьянович,Hamburger SV,полузащитник,5,3
Brunei Darussalam,Некрасов Добромысл Власович,Partizan,защитник,2,25
Botswana,Капустин Борис Устинович,Athletic Bilbao,вратарь,3,-2
Togo,Дьячков Лука Якубович,Lazio,вратарь,9,-10
Central African Rep,Назаров Аркадий Герасимович,Austria Wien,полузащитник,6,26
Sao Tome,Крюков Феликс Абрамович,Újpest,вратарь,6,-24
Norfolk Island,Федоров Евлампий Евстигнеевич,Valencia,вратарь,4,-18
Norfolk Island,Носков Владислав Данилович,Levski Sofia,защитник,5,30
Norway,Голубев Мирон Зиновьевич,Aston Villa,вратарь,9,-24
Togo,Емельянов Мечислав Венедиктович,Borussia Mönchengladbach,защитник,3,14
Virgin Islands (British),Рыбаков Лука Эдгарович,Borussia Dortmund,защитник,8,29
Zambia,Николаев Исай Валентинович,Porto,полузащитник,7,6
Botswana,Никитин Бажен Тимурович,São Paulo,полузащитник,4,28
Congo,Белов Панкрат Герасимович,Colo-Colo,вратарь,2,-26
Georgia,Зимин Любомир Харлампович,Feyenoord,вратарь,4,-5
French Polynesia,Вишняков Леонтий Георгиевич,Manchester United,вратарь,1,-6
Guadeloupe,Крылов Боян Игоревич,PSV Eindhoven,защитник,7,8
Egypt,Дмитриев Ярополк Алексеевич,Flamengo,вратарь,3,-17
United Kingdom,Волков Боян Бориславович,Cerro Porteño,вратарь,3,-13
Saint Lucia,Самойлов Любим Давидович,Independiente,вратарь,6,-6
Lithuania,Белов Леонтий Филиппович,San Lorenzo,вратарь,1,-25
St. Helena,Кудрявцев Август Трофимович,América de Cali,вратарь,8,-6
Northern Mariana Islands,Якушев Харитон Валерьянович,São Paulo,полузащитник,1,24
Guyana,Пономарев Пимен Игнатович,Schalke,вратарь,4,-27
Iran,Макаров Сила Борисович,Colo-Colo,полузащитник,8,5
Togo,Волков Филимон Зиновьевич,Linfield,нападающий,8,15
Colombia,Петухов Вадим Евстигнеевич,Cruzeiro,нападающий,3,26
Netherlands,Цветков Ким Вилорович,Vasco da Gama,нападающий,2,27
Mayotte,Макаров Мирослав Фролович,Chelsea,нападающий,9,29
Myanmar,Константинов Якуб Брониславович,Schalke,полузащитник,8,19
Benin,Кузнецов Тимур Фадеевич,Santos,полузащитник,9,2
Tunisia,Пахомов Кирилл Трофимович,Club América,нападающий,5,7
Swaziland,Ковалев Агафон Бориславович,Levski Sofia,полузащитник,10,30
Falkland Islands (Malvinas),Куликов Аверьян Юльевич,San Lorenzo,полузащитник,2,5
Chile,Капустин Елисей Феоктистович,Club Brugge,защитник,4,23
Qatar,Стрелков Зосима Гавриилович,Austria Wien,нападающий,8,2
Pakistan,Калинин Мартьян Даниилович,CSKA Sofia,полузащитник,10,6
Mozambique,Горбачев Лаврентий Яковлевич,Bayern Munich,защитник,1,4
Congo,Антонов Рюрик Евсеевич,Paris Saint-Germain,нападающий,7,13
Nicaragua,Лаврентьев Арсений Еремеевич,Celtic,нападающий,2,5
New Caledonia,Гордеев Будимир Даниилович,Austria Wien,вратарь,9,-29
Venezuela,Авдеев Платон Харитонович,Partizan,вратарь,5,-4
Cuba,Кузнецов Сильвестр Вилорович,San Lorenzo,защитник,4,9
Malawi,Харитонов Юлиан Владиленович,Fenerbahçe,вратарь,4,-6
Croatia,Колесников Максим Демьянович,Anderlecht,вратарь,8,-2
Slovakia,Жуков Валерьян Денисович,Manchester United,нападающий,9,5
Gibraltar,Стрелков Ян Арсеньевич,Torino,нападающий,4,25
New Caledonia,Попов Трофим Бориславович,Steaua Bucureşti,нападающий,1,30
Libya,Соболев Авдей Димитриевич,Levski Sofia,защитник,5,9
Mexico,Карпов Сила Георгиевич,Benfica,нападающий,2,4
Comoros,Денисов Добромысл Евстигнеевич,PSV Eindhoven,нападающий,6,15
Guyana,Игнатов Доброслав Якубович,Al Ahly,полузащитник,5,12
India,Сазонов Селиверст Елизарович,Racing,защитник,8,30
Uruguay,Рябов Феликс Арсеньевич,Tottenham Hotspur,нападающий,4,18
Zaire,Федотов Милован Дорофеевич,Olympique Lyonnais,нападающий,9,30
Nigeria,Трофимов Владилен Ильясович,Levski Sofia,полузащитник,2,24
Sierra Leone,Рябов Фома Богданович,Fiorentina,полузащитник,6,7
French S. Territories,Исаев Наркис Тихонович,Universitario,нападающий,8,17
Burundi,Юдин Милован Андреевич,Atlético Madrid,защитник,10,20
Papua New Guinea,Белоусов Мефодий Аксёнович,Cerro Porteño,полузащитник,6,8
Uruguay,Филатов Казимир Давыдович,Paris Saint-Germain,нападающий,5,1
Singapore,Силин Лонгин Юлианович,Dynamo Kyiv,полузащитник,9,20
Egypt,Степанов Велимир Виленович,Saint-Étienne,вратарь,3,-6
Belgium,Субботин Лаврентий Гордеевич,Inter Milan,полузащитник,3,13
Mauritius,Овчинников Тихон Эдгарович,Panathinaikos,защитник,4,30
Azerbaijan,Доронин Онуфрий Ефимович,Linfield,полузащитник,6,24
Guinea,Крюков Мина Елисеевич,Everton,защитник,1,10
Malta,Тимофеев Андрон Трифонович,CSKA Sofia,нападающий,9,2
Norfolk Island,Гурьев Ким Матвеевич,Dinamo Bucureşti,защитник,7,7
Canada,Кудряшов Каллистрат Демидович,Saint-Étienne,защитник,4,1
Bosnia And Herzegowina,Ершов Пимен Ермилович,Napoli,защитник,8,15
Bahrain,Жданов Панкрат Теймуразович,Austria Wien,полузащитник,8,27
Niger,Алексеев Павел Викторович,Torino,нападающий,8,8
Australia,Захаров Фома Аверьянович,Olympiacos,защитник,3,8
Australia,Смирнов Поликарп Вячеславович,Cerro Porteño,нападающий,10,10
Kyrgyzstan,Некрасов Станимир Вилорович,Schalke,вратарь,8,-30
Netherlands Antilles,Антонов Наум Евстигнеевич,Celtic,вратарь,3,-8
Faroe Islands,Логинов Исидор Аверьянович,Libertad,полузащитник,5,2
Albania,Лапин Самсон Устинович,Olympique Lyonnais,нападающий,9,15
Nicaragua,Павлов Конон Алексеевич,Santos,защитник,8,13
Hong Kong,Афанасьев Пантелеймон Архипович,Dinamo Bucureşti,полузащитник,4,9
United States,Андреев Филипп Яковлевич,Olympique Lyonnais,вратарь,6,-12
Pitcairn,Одинцов Селиверст Гурьевич,Hajduk Split,защитник,4,17
Iraq,Жуков Глеб Ааронович,Vélez Sarsfield,вратарь,3,-28
Spain,Филиппов Милан Иосифович,São Paulo,полузащитник,2,22
Tokelau,Беляков Иосиф Аксёнович,Athletic Bilbao,защитник,9,13
Uganda,Морозов Стоян Трофимович,Galatasaray,нападающий,6,14
Tuvalu,Кудряшов Иннокентий Иларионович,Újpest,нападающий,10,17
Congo,Русаков Иван Васильевич,MTK Budapest,нападающий,6,30
South Africa,Михайлов Добромысл Федосьевич,Slavia Prague,защитник,1,15
Myanmar,Корнилов Адам Андреевич,Liverpool,защитник,6,17
Peru,Ларионов Устин Бориславович,Palmeiras,защитник,8,16
Iran,Соколов Юрий Витальевич,Malmö,нападающий,4,11
Macedonia,Федотов Натан Гордеевич,Valencia,полузащитник,10,22
Yugoslavia,Колесников Станислав Зиновьевич,Al Ahly,полузащитник,10,9
Hungary,Власов Евграф Жоресович,Grêmio,полузащитник,10,6
Dominican Republic,Игнатов Ростислав Иосифович,Spartak Moscow,защитник,8,12
Slovenia,Бобылев Ипат Исидорович,Red Star Belgrade,защитник,3,28
Saint Kitts And Nevis,Ширяев Михей Валерианович,Valencia,нападающий,8,21
Lithuania,Архипов Василий Денисович,Porto,защитник,2,18
New Caledonia,Тихонов Селиверст Виленович,Girondins de Bordeaux,полузащитник,3,20
Brazil,Лыткин Сильвестр Августович,Red Star Belgrade,защитник,5,11
Israel,Пахомов Август Матвеевич,Libertad,защитник,6,5
Czech Republic,Герасимов Елисей Бориславович,Torino,полузащитник,6,30
New Caledonia,Буров Лаврентий Феоктистович,Espérance,полузащитник,2,15
Dominican Republic,Лыткин Агафон Денисович,Racing,нападающий,5,23
Guyana,Константинов Капитон Алексеевич,Sparta Prague,защитник,7,19
Mayotte,Семенов Касьян Тимурович,Panathinaikos,защитник,9,15
St.Pierre,Горбунов Ефрем Гордеевич,Panathinaikos,вратарь,2,-5
Nicaragua,Юдин Азарий Эдуардович,Torino,защитник,1,30
Nauru,Зиновьев Тит Гурьевич,Grêmio,защитник,3,22
Norfolk Island,Нестеров Бажен Юлианович,Zamalek,нападающий,6,27
Nepal,Миронов Феликс Исидорович,Barcelona,полузащитник,10,27
Canada,Прохоров Арсений Анатольевич,A.C. Milan,защитник,6,29
United Kingdom,Афанасьев Зосима Викентьевич,Grêmio,нападающий,2,10
Czech Republic,Николаев Климент Фомич,Lazio,полузащитник,4,8
Luxembourg,Лукин Иван Ермилович,Benfica,вратарь,5,-7
Mauritania,Романов Юлий Владиленович,Galatasaray,полузащитник,7,17
Somalia,Комаров Никандр Бенедиктович,Barcelona,защитник,10,24
Rwanda,Молчанов Афанасий Всеволодович,Cerro Porteño,полузащитник,7,23
Niue,Субботин Адриан Власович,San Lorenzo,вратарь,7,-21
Iceland,Баранов Влас Аксёнович,Grêmio,полузащитник,3,3
Peru,Лапин Данила Валерьянович,Flamengo,нападающий,7,1
Zambia,Пахомов Викентий Дорофеевич,River Plate,вратарь,7,-5
Spain,Иванов Дмитрий Александрович,Chelsea,вратарь,7,-12
Monaco,Кузнецов Фотий Харлампович,Paris Saint-Germain,нападающий,7,27
Falkland Islands (Malvinas),Гордеев Радован Афанасьевич,Dinamo Zagreb,нападающий,8,6
Marshall Islands,Селезнев Мир Ермолаевич,Újpest,нападающий,5,2
Italy,Нестеров Вадим Федосеевич,Corinthians,вратарь,7,-9
Samoa,Исаев Тит Феофанович,Al Ahly,вратарь,5,-7
Chad,Денисов Родион Адрианович,Feyenoord,полузащитник,9,14
Slovenia,Щербаков Мечислав Фёдорович,Internacional,полузащитник,5,20
Gabon,Шестаков Михей Гурьевич,Flamengo,нападающий,3,17
Tajikistan,Константинов Ян Феофанович,São Paulo,нападающий,1,22
Congo,Алексеев Святослав Филатович,Levski Sofia,полузащитник,6,25
Korea (North),Кузьмин Август Даниилович,PSV Eindhoven,защитник,1,6
Sudan,Беляев Ладимир Харитонович,Sparta Prague,полузащитник,1,26
Turkmenistan,Лебедев Януарий Владленович,Ferencvárosi TC,вратарь,2,-9
Mali,Котов Творимир Витальевич,Atlético Madrid,вратарь,4,-11
Oman,Филиппов Поликарп Харлампьевич,Red Star Belgrade,нападающий,1,28
Senegal,Кондратьев Феликс Ефимович,Paris Saint-Germain,защитник,2,6
Solomon Islands,Куликов Евлампий Иларионович,MTK Budapest,вратарь,7,-9
Philippines,Марков Савелий Гертрудович,América de Cali,вратарь,6,-30
Antarctica,Белоусов Ефим Жоресович,Valencia,полузащитник,5,15
Kiribati,Егоров Семен Венедиктович,Universidad Católica,нападающий,8,2
Oman,Логинов Марк Борисович,Juventus,нападающий,7,3
Tunisia,Кудряшов Макар Борисович,Fiorentina,защитник,3,11
Mauritius,Мишин Ипполит Елизарович,Partizan,нападающий,6,14
Morocco,Сазонов Вениамин Харламович,Chelsea,нападающий,9,30
Somalia,Виноградов Самсон Эдгарович,Slavia Prague,полузащитник,6,19
Burundi,Кудрявцев Евлампий Германович,MTK Budapest,нападающий,7,14
Maldives,Игнатьев Ермил Юльевич,Linfield,нападающий,1,30
Japan,Селиверстов Никанор Марсович,Girondins de Bordeaux,полузащитник,5,4
Egypt,Мишин Якуб Власович,Lazio,нападающий,8,10
Angola,Филатов Герасим Владиславович,Manchester United,вратарь,9,-23
Jordan,Борисов Илья Трофимович,Bayern Munich,полузащитник,10,6
Tokelau,Мамонтов Мирон Гурьевич,Dynamo Kyiv,полузащитник,6,18
Malta,Веселов Сильвестр Иосифович,Olympique Lyonnais,полузащитник,7,16
Guinea,Лебедев Остромир Иларионович,Borussia Dortmund,полузащитник,10,13
Belize,Зыков Сильвестр Федотович,Partizan,нападающий,1,9
Gambia,Самсонов Остап Власович,Grasshopper Club Zürich,полузащитник,5,30
Gabon,Бобылев Степан Андреевич,Manchester United,защитник,4,30
United Kingdom,Кабанов Эрнест Зиновьевич,Manchester United,нападающий,10,3
Anguilla,Селиверстов Симон Бориславович,River Plate,полузащитник,4,3
New Caledonia,Щербаков Аполлинарий Августович,Vélez Sarsfield,вратарь,5,-14
Albania,Абрамов Феофан Эдуардович,Boca Juniors,защитник,7,8
Japan,Соловьев Анисим Игоревич,Athletic Bilbao,нападающий,9,27
Tajikistan,Михайлов Дементий Якубович,A.C. Milan,полузащитник,10,12
Gabon,Козлов Эрнст Зиновьевич,Partizan,нападающий,9,12
Sierra Leone,Куликов Доброслав Валерианович,Vasco da Gama,защитник,9,26
Kuwait,Титов Доброслав Евстигнеевич,Manchester United,полузащитник,10,20
Afghanistan,Владимиров Амвросий Владиленович,Atlético Madrid,нападающий,5,30
San Marino,Колобов Святослав Ермолаевич,MTK Budapest,полузащитник,6,9
Yemen,Лебедев Сидор Харламович,Grêmio,нападающий,7,17
Palau,Субботин Харитон Харламович,Ajax,вратарь,1,-19
Samoa,Фомичев Макар Ануфриевич,Steaua Bucureşti,защитник,10,21
Lebanon,Мишин Ярополк Ефимович,Saint-Étienne,нападающий,1,18
Brazil,Жданов Аникей Трифонович,América de Cali,полузащитник,6,21
Liberia,Кабанов Милован Аксёнович,Flamengo,вратарь,7,-16
Iraq,Жуков Анатолий Фокич,Napoli,полузащитник,5,18
Maldives,Волков Самуил Демьянович,Peñarol,нападающий,2,23
Australia,Лихачев Якуб Феодосьевич,IFK Göteborg,нападающий,8,25
Senegal,Смирнов Семен Фролович,Rangers,полузащитник,10,14
Singapore,Мельников Илья Августович,Olympiacos,полузащитник,10,15
Argentina,Смирнов Матвей Александрович,Steaua Bucureşti,защитник,4,1
