Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Bolivia,Смирнов Тит Федотович,IFK Göteborg,защитник,3,22
East Timor,Авдеев Никанор Афанасьевич,Bayern Munich,полузащитник,7,19
Somalia,Веселов Мир Трофимович,Lazio,полузащитник,3,22
Netherlands Antilles,Дорофеев Герман Гавриилович,Juventus,нападающий,7,28
Bouvet Island,Тарасов Юлиан Денисович,Hamburger SV,нападающий,6,9
Guyana,Лобанов Геннадий Денисович,Dinamo Bucureşti,защитник,8,9
Cote D`ivoire,Шарапов Мечислав Аверьянович,Schalke,полузащитник,1,10
Luxembourg,Мельников Ратмир Тимурович,Internacional,полузащитник,6,1
Equatorial Guinea,Анисимов Будимир Фокич,Hamburger SV,защитник,6,30
Djibouti,Копылов Лев Алексеевич,Anderlecht,защитник,8,19
Tuvalu,Герасимов Емельян Якубович,Sporting,вратарь,6,-7
Marshall Islands,Степанов Демид Эдгарович,Malmö,полузащитник,10,3
Cote D`ivoire,Титов Соломон Бенедиктович,Schalke,вратарь,5,-15
Albania,Кулаков Исидор Артурович,IFK Göteborg,нападающий,6,16
Pakistan,Петров Харлампий Ермилович,IFK Göteborg,полузащитник,10,1
France,Денисов Феоктист Анисимович,Roma,вратарь,3,-17
Oman,Щукин Карп Давидович,Club Brugge,полузащитник,10,21
Barbados,Орлов Павел Ермилович,Chelsea,нападающий,6,2
Guyana,Крылов Модест Харламович,Flamengo,защитник,4,30
Nigeria,Данилов Игнатий Феофанович,Palmeiras,полузащитник,8,7
South Africa,Анисимов Панкрат Германович,Anderlecht,нападающий,7,26
Chad,Ширяев Евгений Гаврилович,Nacional,полузащитник,9,30
Mauritius,Фокин Олег Дмитриевич,Torino,полузащитник,1,30
Australia,Пахомов Филарет Гаврилович,América de Cali,вратарь,2,-25
Falkland Islands (Malvinas),Колобов Любомир Филатович,Porto,нападающий,10,19
Burundi,Князев Лучезар Виленович,Anderlecht,полузащитник,10,11
Nauru,Логинов Всеволод Ярославович,Estudiantes,защитник,7,19
Burundi,Елисеев Всеволод Жоресович,Malmö,полузащитник,3,13
Sierra Leone,Муравьев Аполлон Ильясович,Inter Milan,нападающий,6,9
Greece,Давыдов Христофор Харламович,Juventus,защитник,7,29
Korea (North),Авдеев Родион Архипович,Grêmio,защитник,4,8
Mauritius,Николаев Артем Бориславович,Slavia Prague,защитник,5,6
Greece,Фокин Арсений Валентинович,Partizan,защитник,1,25
Tunisia,Шашков Велимир Измаилович,Köln,нападающий,8,20
Cayman Islands,Игнатьев Эммануил Эдгардович,Arsenal,защитник,3,26
Germany,Селезнев Сидор Вилорович,Levski Sofia,нападающий,3,3
Panama,Блохин Елизар Евсеевич,Club América,нападающий,4,17
French S. Territories,Якушев Севастьян Феоктистович,Arsenal,полузащитник,2,16
Puerto Rico,Шашков Евдоким Харламович,Fiorentina,полузащитник,1,26
India,Савельев Милий Абрамович,Monaco,нападающий,4,2
Viet Nam,Сазонов Леонид Германович,Athletic Bilbao,защитник,3,27
Solomon Islands,Антонов Вышеслав Абрамович,San Lorenzo,нападающий,6,22
Antarctica,Гордеев Леонтий Анатольевич,Universitario,защитник,4,28
Mayotte,Кузнецов Самуил Иосифович,Corinthians,полузащитник,5,30
Ghana,Кондратьев Аникей Артёмович,CSKA Sofia,полузащитник,5,22
American Samoa,Матвеев Назар Измаилович,Universidad Católica,нападающий,1,5
Botswana,Егоров Харитон Захарьевич,Olympique Marseille,нападающий,3,12
Estonia,Иванов Савелий Артёмович,Liverpool,защитник,7,23
Vatican City State,Медведев Бажен Витальевич,Independiente,вратарь,8,-10
Germany,Фадеев Савелий Ермилович,Zamalek,полузащитник,7,8
Moldova,Сысоев Владлен Евстигнеевич,Nacional,защитник,1,13
El Salvador,Калинин Владлен Гордеевич,Red Star Belgrade,вратарь,10,-19
Marshall Islands,Колесников Юлий Терентьевич,Torino,нападающий,8,17
Belarus,Воробьев Ростислав Бориславович,Chelsea,нападающий,7,27
Liechtenstein,Костин Эрнест Иларионович,Girondins de Bordeaux,нападающий,2,27
Bermuda,Назаров Трофим Юлианович,Nacional,защитник,6,19
Sri Lanka,Никонов Гордей Филатович,Flamengo,защитник,6,6
Guyana,Гришин Рубен Фролович,Santos,вратарь,10,-2
Greece,Лукин Будимир Вилорович,IFK Göteborg,нападающий,3,21
Slovakia,Евсеев Олег Харитонович,Dinamo Bucureşti,нападающий,5,16
Mali,Быков Фома Ануфриевич,Chelsea,нападающий,9,2
France,Беляков Виталий Валерьянович,Monaco,полузащитник,3,24
Dominica,Бобылев Фадей Арсенович,Juventus,защитник,3,11
Brunei Darussalam,Горбачев Карп Феофанович,Sporting,нападающий,5,9
Dominica,Юдин Филипп Григорьевич,Estudiantes,защитник,3,19
Nicaragua,Киселев Викентий Августович,Palmeiras,нападающий,5,17
Nauru,Михайлов Петр Валерианович,Santos,вратарь,7,-12
Zambia,Рыбаков Галактион Ерофеевич,Rangers,вратарь,10,-5
Andorra,Новиков Азарий Фёдорович,Sporting,вратарь,3,-23
Ethiopia,Галкин Захар Ефремович,Dynamo Kyiv,нападающий,7,29
Russian Federation,Блохин Любомир Дмитриевич,Köln,нападающий,3,23
Martinique,Мухин Викторин Трифонович,Monaco,вратарь,7,-24
Mexico,Исаков Софон Жанович,PSV Eindhoven,вратарь,1,-16
Paraguay,Бирюков Эдуард Феоктистович,Borussia Mönchengladbach,защитник,2,19
Norway,Молчанов Филипп Жоресович,Schalke,вратарь,3,-26
Belgium,Киселев Епифан Харламович,Dynamo Kyiv,вратарь,6,-14
Tonga,Евдокимов Леонтий Трифонович,Galatasaray,нападающий,1,6
Mayotte,Лазарев Демьян Гаврилович,Universidad Católica,защитник,9,27
Macau,Маслов Григорий Чеславович,Club Brugge,защитник,5,10
Tokelau,Владимиров Никифор Гурьевич,Atlético Nacional,нападающий,2,9
Norway,Федосеев Светозар Фомич,Olympique Lyonnais,полузащитник,7,22
Chad,Евдокимов Любомир Феоктистович,Arsenal,полузащитник,1,22
El Salvador,Давыдов Ярополк Чеславович,Galatasaray,нападающий,9,29
Botswana,Рыбаков Лука Харитонович,Universidad de Chile,защитник,3,20
Nepal,Киселев Евгений Гаврилович,Celtic,полузащитник,4,19
China,Уваров Евстигней Харлампьевич,Al Ahly,вратарь,4,-21
Nauru,Большаков Феоктист Изотович,Partizan,полузащитник,9,12
Norfolk Island,Анисимов Казимир Ефстафьевич,Olympique Marseille,полузащитник,5,24
Albania,Борисов Фадей Якубович,Olimpia,полузащитник,7,2
Montserrat,Тетерин Владилен Ермолаевич,Dynamo Kyiv,полузащитник,3,11
Nigeria,Петров Лев Гурьевич,Atlético Nacional,вратарь,5,-10
Uzbekistan,Буров Эраст Гурьевич,Club Brugge,вратарь,4,-24
Tunisia,Фомин Куприян Арсенович,Austria Wien,нападающий,3,20
Andorra,Егоров Фирс Григорьевич,Újpest,защитник,5,13
Ireland,Ситников Ян Григорьевич,Inter Milan,защитник,6,29
Solomon Islands,Захаров Станислав Ярославович,IFK Göteborg,нападающий,9,7
Central African Rep,Шестаков Ярополк Валерианович,Újpest,полузащитник,9,24
Central African Rep,Гурьев Боян Алексеевич,Universidad de Chile,вратарь,10,-23
Niger,Горшков Панкрат Алексеевич,MTK Budapest,вратарь,7,-20
South Africa,Потапов Демид Ермилович,Real Madrid,защитник,5,28
Mauritius,Степанов Софрон Федосьевич,Tottenham Hotspur,защитник,4,11
Malta,Рожков Гедеон Юлианович,Olympique Marseille,вратарь,7,-30
Saint Kitts And Nevis,Панов Пров Аверьянович,Olympique Marseille,защитник,8,30
Liechtenstein,Мартынов Валентин Владиславович,San Lorenzo,защитник,6,3
Martinique,Евсеев Яков Феоктистович,Ferencvárosi TC,нападающий,5,12
Tuvalu,Журавлев Аникей Анатольевич,Universitario,полузащитник,8,30
Bosnia And Herzegowina,Мамонтов Порфирий Авдеевич,Spartak Moscow,защитник,4,6
Tonga,Панфилов Тимур Артёмович,San Lorenzo,вратарь,10,-17
United Arab Emirates,Коновалов Вадим Ильясович,Linfield,защитник,9,12
Mauritius,Котов Любим Авдеевич,Estudiantes,нападающий,9,30
Sierra Leone,Мамонтов Матвей Ермолаевич,Real Madrid,полузащитник,10,9
Marshall Islands,Рожков Феоктист Архипович,Nacional,вратарь,9,-6
Guyana,Афанасьев Петр Федосеевич,Sparta Prague,защитник,5,22
Nicaragua,Белов Данила Филатович,Ajax,полузащитник,8,26
Latvia,Кузнецов Доброслав Брониславович,Zamalek,полузащитник,8,1
Australia,Терентьев Якуб Ерофеевич,Al Ahly,нападающий,6,16
Sao Tome,Кулагин Моисей Антонович,Barcelona,защитник,9,16
France,Авдеев Амос Харламович,Paris Saint-Germain,защитник,4,30
Singapore,Зиновьев Осип Федотович,Chelsea,вратарь,1,-10
Austria,Ларионов Лука Владленович,Roma,полузащитник,1,5
Bulgaria,Сысоев Станимир Матвеевич,PSV Eindhoven,вратарь,5,-14
Fiji,Калашников Соломон Гавриилович,MTK Budapest,нападающий,10,15
Swaziland,Гущин Мариан Дорофеевич,Palmeiras,нападающий,1,15
Zambia,Ситников Вениамин Борисович,Grêmio,нападающий,4,29
Benin,Орехов Прокофий Харламович,Napoli,защитник,7,22
Lebanon,Овчинников Ладимир Харлампович,Dynamo Kyiv,защитник,7,30
Cameroon,Михеев Николай Валерьянович,Boca Juniors,вратарь,4,-15
Belgium,Воронов Леонид Богданович,Spartak Moscow,нападающий,6,12
St. Helena,Терентьев Владлен Вячеславович,Grêmio,защитник,9,19
Palau,Князев Мстислав Августович,A.C. Milan,вратарь,4,-3
Malawi,Гущин Артем Харламович,Internacional,нападающий,6,2
Spain,Федосеев Орест Иосифович,Zamalek,полузащитник,9,29
Paraguay,Козлов Феоктист Глебович,Universidad Católica,нападающий,7,24
Ghana,Щукин Прокл Анисимович,Inter Milan,полузащитник,3,20
Guinea,Антонов Автоном Аксёнович,Red Star Belgrade,вратарь,2,-18
Belarus,Белоусов Боян Артемьевич,Espérance,вратарь,8,-17
Myanmar,Ильин Герасим Вилорович,Libertad,вратарь,4,-24
Suriname,Королев Изяслав Богданович,Inter Milan,полузащитник,8,19
Lithuania,Мясников Ермолай Борисович,Racing,защитник,2,20
Panama,Горбунов Радим Фадеевич,Werder Bremen,полузащитник,6,23
India,Горбунов Ярослав Чеславович,Barcelona,вратарь,9,-19
Bahamas,Трофимов Ферапонт Иларионович,Slavia Prague,нападающий,9,25
Czech Republic,Цветков Модест Давидович,Club América,вратарь,10,-2
Romania,Лебедев Григорий Ильясович,IFK Göteborg,полузащитник,5,13
Suriname,Гордеев Климент Владленович,Nacional,защитник,1,30
Uruguay,Харитонов Никифор Исидорович,Fiorentina,защитник,1,5
Paraguay,Стрелков Моисей Васильевич,Inter Milan,полузащитник,1,17
Paraguay,Фомин Станислав Гавриилович,Inter Milan,полузащитник,3,10
Finland,Костин Аникита Александрович,Olympiacos,вратарь,7,-11
Pitcairn,Сазонов Спиридон Филиппович,Ajax,защитник,1,10
Taiwan,Колесников Ферапонт Артурович,River Plate,нападающий,9,28
Myanmar,Степанов Селиверст Гаврилович,Colo-Colo,вратарь,2,-18
Solomon Islands,Савин Болеслав Брониславович,Espérance,полузащитник,9,19
Ireland,Медведев Агап Фомич,Benfica,вратарь,4,-13
Faroe Islands,Афанасьев Януарий Борисович,Universitario,полузащитник,10,25
Zaire,Кабанов Остап Игнатович,Dinamo Zagreb,нападающий,6,15
Chad,Морозов Панфил Артемьевич,Olimpia,вратарь,10,-25
Macau,Денисов Федосий Арсеньевич,Palmeiras,нападающий,6,18
Vatican City State,Исаев Софон Давидович,Spartak Moscow,вратарь,9,-14
Tonga,Селезнев Всеволод Харлампьевич,Panathinaikos,вратарь,8,-3
Comoros,Ильин Велимир Валерианович,Köln,полузащитник,5,9
Laos,Яковлев Иннокентий Тимурович,Linfield,вратарь,7,-12
Cuba,Федотов Амвросий Виленович,Inter Milan,вратарь,7,-29
Morocco,Овчинников Рюрик Анисимович,Cerro Porteño,вратарь,7,-29
Cook Islands,Осипов Мстислав Давыдович,Racing,вратарь,7,-25
East Timor,Трофимов Евлампий Юльевич,Panathinaikos,полузащитник,3,1
Micronesia,Сидоров Казимир Харлампьевич,Barcelona,полузащитник,3,4
Haiti,Никифоров Лазарь Витальевич,Werder Bremen,защитник,9,25
Lithuania,Большаков Варфоломей Виленович,Barcelona,вратарь,8,-14
Iceland,Игнатов Аполлон Ярославович,Barcelona,полузащитник,3,13
Austria,Титов Гаврила Трифонович,Palmeiras,нападающий,9,6
Italy,Фролов Митофан Владиславович,Libertad,полузащитник,2,10
Suriname,Алексеев Прокофий Игнатович,Werder Bremen,вратарь,9,-29
Bolivia,Зиновьев Максим Ерофеевич,Sporting,нападающий,6,9
Greece,Мельников Ярослав Гордеевич,Universitario,вратарь,4,-1
Antarctica,Владимиров Моисей Всеволодович,Roma,нападающий,10,10
Ukraine,Ильин Аскольд Викентьевич,Atlético Mineiro,полузащитник,5,10
Cyprus,Петухов Дмитрий Виленович,Monaco,нападающий,6,14
Grenada,Медведев Аверкий Иларионович,Bayern Munich,полузащитник,9,25
Montserrat,Дьячков Гостомысл Алексеевич,PSV Eindhoven,защитник,3,30
Colombia,Лихачев Всемил Бенедиктович,Juventus,нападающий,2,6
Micronesia,Федотов Савватий Фомич,Sparta Prague,полузащитник,6,14
Yugoslavia,Петухов Ираклий Давыдович,Újpest,нападающий,7,28
French S. Territories,Мишин Евлампий Валентинович,Al Ahly,защитник,8,14
Portugal,Гришин Аверкий Ааронович,Internacional,вратарь,9,-28
Djibouti,Воронцов Гремислав Ильясович,Dinamo Bucureşti,защитник,4,9
Costa Rica,Баранов Ипатий Данилович,River Plate,вратарь,5,-16
Niger,Белов Никифор Ильясович,Nacional,вратарь,4,-21
Northern Mariana Islands,Дорофеев Митофан Августович,Arsenal,нападающий,6,2
Bhutan,Зиновьев Симон Гавриилович,Porto,нападающий,7,20
Lebanon,Гордеев Остап Григорьевич,Schalke,вратарь,5,-9
Australia,Рогов Мечислав Захарьевич,América de Cali,защитник,6,22
Slovenia,Колесников Остромир Борисович,Espérance,вратарь,7,-18
Congo,Сазонов Эдуард Анатольевич,Everton,защитник,6,20
Macau,Рогов Валерьян Изотович,Chelsea,вратарь,1,-3
Barbados,Кулаков Ладислав Юльевич,Sparta Prague,вратарь,9,-15
Malaysia,Пономарев Юлиан Александрович,Olimpia,вратарь,8,-7
Gibraltar,Горшков Роман Владиславович,Flamengo,полузащитник,3,7
Maldives,Пахомов Ферапонт Гаврилович,Real Madrid,защитник,3,17
Maldives,Большаков Сократ Архипович,MTK Budapest,нападающий,6,17
Austria,Киселев Аполлинарий Харламович,Sporting,защитник,10,7
Tonga,Петухов Стоян Александрович,Girondins de Bordeaux,вратарь,10,-20
Pakistan,Тимофеев Фрол Яковлевич,Olympique Lyonnais,защитник,3,21
Ecuador,Зайцев Рубен Артёмович,Slavia Prague,нападающий,6,19
Micronesia,Алексеев Терентий Федосьевич,Köln,полузащитник,3,12
Algeria,Антонов Ростислав Виленович,A.C. Milan,полузащитник,3,29
Ireland,Воронцов Исай Филимонович,Porto,полузащитник,8,13
Bahrain,Галкин Наум Гурьевич,Palmeiras,нападающий,7,7
Morocco,Мясников Фока Фадеевич,Liverpool,нападающий,5,10
Guyana,Щербаков Исидор Евсеевич,Internacional,полузащитник,5,23
Iraq,Васильев Сидор Венедиктович,MTK Budapest,защитник,1,24
Tonga,Ефремов Велимир Данилович,Al Ahly,полузащитник,9,8
Anguilla,Харитонов Яков Ильясович,Schalke,вратарь,10,-1
Haiti,Шаров Автоном Федотович,Liverpool,защитник,10,2
Senegal,Суханов Чеслав Богданович,Juventus,полузащитник,4,29
Iraq,Кузьмин Софон Ильич,Ajax,защитник,1,9
Seychelles,Тетерин Фома Иосифович,Linfield,полузащитник,9,26
New Zealand,Иванов Леонид Фокич,Nacional,вратарь,7,-11
Viet Nam,Михеев Каллистрат Александрович,Liverpool,нападающий,4,28
United Arab Emirates,Гаврилов Мариан Устинович,Austria Wien,вратарь,8,-20
American Samoa,Богданов Ратибор Ермолаевич,Estudiantes,нападающий,10,23
Malta,Бобылев Будимир Антипович,Grasshopper Club Zürich,защитник,8,22
Korea (South),Бирюков Борислав Федосеевич,Vasco da Gama,вратарь,10,-11
Morocco,Суханов Стоян Витальевич,Galatasaray,полузащитник,9,14
South Africa,Котов Прокофий Феликсович,Libertad,нападающий,1,2
Sierra Leone,Овчинников Елисей Викторович,Racing,вратарь,1,-18
Monaco,Рябов Арефий Евсеевич,Internacional,защитник,7,1
Brunei Darussalam,Голубев Антонин Феодосьевич,Linfield,защитник,10,29
Mali,Смирнов Ян Исидорович,Újpest,нападающий,1,12
Eritrea,Некрасов Евстафий Ефремович,Club América,вратарь,2,-2
Australia,Горбунов Порфирий Евстигнеевич,Ferencvárosi TC,нападающий,6,1
Equatorial Guinea,Евдокимов Андроник Жоресович,River Plate,защитник,5,17
Mexico,Егоров Спиридон Владиленович,Universidad de Chile,нападающий,8,13
Oman,Мясников Аггей Дмитриевич,Estudiantes,защитник,2,30
Czech Republic,Жданов Фадей Елисеевич,Porto,защитник,5,23
Finland,Дорофеев Никандр Георгиевич,Saint-Étienne,вратарь,2,-14
Haiti,Максимов Софон Феликсович,Olympique Lyonnais,полузащитник,9,19
Chile,Мамонтов Ратибор Феликсович,Steaua Bucureşti,вратарь,2,-18
Iraq,Баранов Гедеон Федосьевич,Köln,защитник,5,26
Bolivia,Прохоров Адриан Августович,América de Cali,вратарь,5,-3
Aruba,Ефремов Аверьян Гавриилович,Celtic,вратарь,6,-10
Guinea-bissau,Пономарев Никодим Игоревич,Lazio,полузащитник,10,28
Antarctica,Прохоров Леонид Демьянович,Olympique Lyonnais,нападающий,8,19
Iceland,Воронов Творимир Тимурович,Rangers,защитник,5,19
Slovenia,Лапин Борислав Артёмович,Universidad Católica,нападающий,8,4
Taiwan,Меркушев Эмиль Трофимович,Zamalek,нападающий,8,20
Uganda,Пестов Игорь Терентьевич,Anderlecht,полузащитник,2,27
Netherlands,Морозов Владилен Чеславович,Cruzeiro,защитник,7,3
Zaire,Молчанов Никодим Даниилович,Corinthians,полузащитник,6,8
Syrian Arab Republic,Трофимов Матвей Харлампович,Santos,защитник,7,12
Zambia,Фролов Всеслав Валерьевич,Athletic Bilbao,защитник,5,6
Antarctica,Федосеев Тимур Денисович,Werder Bremen,полузащитник,7,28
Seychelles,Королев Потап Еремеевич,Hajduk Split,нападающий,9,1
Estonia,Овчинников Архип Антипович,IFK Göteborg,нападающий,1,28
China,Журавлев Пантелеймон Эдгардович,Inter Milan,защитник,4,5
Italy,Лаврентьев Вадим Измаилович,Olympiacos,полузащитник,6,4
Mozambique,Беляков Симон Матвеевич,Fenerbahçe,защитник,5,20
Reunion,Федотов Андроник Игнатович,Fiorentina,полузащитник,2,21
Macedonia,Яковлев Антонин Эдуардович,Dinamo Bucureşti,вратарь,6,-9
Austria,Мартынов Эрнст Терентьевич,Chelsea,нападающий,1,26
Cape Verde,Князев Творимир Гурьевич,Santos,защитник,1,27
Czech Republic,Наумов Гордей Валентинович,Monaco,защитник,2,29
Macau,Лебедев Харлампий Виленович,Palmeiras,полузащитник,10,15
Turkmenistan,Михеев Леонид Матвеевич,Cerro Porteño,вратарь,10,-23
Moldova,Тетерин Всеволод Демьянович,Universitario,вратарь,4,-19
Guinea-bissau,Тарасов Гостомысл Ерофеевич,Universidad de Chile,вратарь,5,-18
Switzerland,Рябов Аникей Борисович,Malmö,полузащитник,10,27
Virgin Islands (British),Кононов Исай Измаилович,Real Madrid,нападающий,7,5
Cape Verde,Никитин Панкрат Еремеевич,Manchester United,нападающий,3,29
Sweden,Баранов Нифонт Игнатович,Hamburger SV,полузащитник,8,9
Dominica,Белоусов Кондрат Брониславович,Athletic Bilbao,полузащитник,3,3
Reunion,Евдокимов Артем Арсеньевич,Corinthians,полузащитник,5,1
El Salvador,Лазарев Прохор Елисеевич,Boca Juniors,вратарь,4,-13
Hong Kong,Петухов Гордей Тихонович,Rapid Wien,нападающий,2,2
Pakistan,Максимов Сила Эдуардович,Schalke,вратарь,8,-2
Austria,Сергеев Дмитрий Эдуардович,Liverpool,полузащитник,4,7
Ecuador,Нестеров Андрей Андреевич,Flamengo,вратарь,10,-27
Seychelles,Блохин Аким Антонович,Liverpool,защитник,7,18
Libya,Устинов Ипатий Давидович,Borussia Mönchengladbach,вратарь,4,-25
French S. Territories,Владимиров Самуил Власович,Everton,полузащитник,3,16
Austria,Кузьмин Фадей Филимонович,Universitario,нападающий,10,27
Jordan,Герасимов Феоктист Еремеевич,Levski Sofia,защитник,7,6
Armenia,Комаров Лаврентий Тихонович,Vasco da Gama,вратарь,5,-25
Namibia,Морозов Кондратий Ефремович,Atlético Mineiro,вратарь,7,-4
Saint Lucia,Никонов Дмитрий Арсенович,Athletic Bilbao,нападающий,9,7
Gambia,Захаров Федот Ануфриевич,Monaco,полузащитник,10,9
Trinidad And Tobago,Потапов Ананий Демьянович,Grasshopper Club Zürich,вратарь,6,-6
Bermuda,Фомин Василий Бенедиктович,Celtic,полузащитник,4,21
United States,Титов Азарий Бориславович,Grêmio,защитник,1,18
Oman,Воронов Яков Давидович,Aston Villa,нападающий,3,15
Italy,Крюков Сигизмунд Вилорович,Borussia Dortmund,нападающий,8,10
Tajikistan,Шаров Елизар Владиленович,Porto,полузащитник,9,2
Puerto Rico,Князев Исай Ерофеевич,Benfica,полузащитник,3,28
Tunisia,Орехов Константин Валерианович,Universidad Católica,полузащитник,2,30
Dominica,Ефремов Севастьян Антонович,Werder Bremen,полузащитник,7,11
Uruguay,Кузнецов Сидор Артемьевич,Monaco,вратарь,9,-7
Portugal,Третьяков Силантий Евстигнеевич,Saint-Étienne,вратарь,4,-19
Haiti,Андреев Сократ Жанович,Saint-Étienne,защитник,9,27
Turkmenistan,Лаврентьев Тит Бориславович,Monaco,защитник,2,2
Cambodia,Никитин Аркадий Богданович,Olimpia,полузащитник,9,1
Togo,Цветков Святополк Ильясович,Aston Villa,полузащитник,2,4
Lesotho,Григорьев Георгий Терентьевич,River Plate,нападающий,10,30
Christmas Island,Мишин Милан Всеволодович,Palmeiras,вратарь,10,-2
Benin,Лихачев Спиридон Всеволодович,Borussia Mönchengladbach,вратарь,6,-2
St. Helena,Дмитриев Фирс Фокич,Porto,полузащитник,8,30
Honduras,Абрамов Юлиан Ерофеевич,Nacional,нападающий,2,19
Suriname,Горбунов Гостомысл Виленович,MTK Budapest,полузащитник,9,8
Andorra,Молчанов Тихон Герасимович,Sparta Prague,полузащитник,4,24
Benin,Молчанов Евграф Алексеевич,Dinamo Bucureşti,полузащитник,2,3
Marshall Islands,Максимов Потап Георгиевич,Dinamo Bucureşti,защитник,10,28
Mongolia,Моисеев Лука Григорьевич,Palmeiras,полузащитник,1,10
Cape Verde,Соколов Влас Тихонович,Újpest,полузащитник,6,14
Switzerland,Воронов Варлаам Измаилович,MTK Budapest,полузащитник,2,9
Kuwait,Кулаков Соломон Федосеевич,Santos,вратарь,10,-14
Andorra,Субботин Руслан Ильич,Barcelona,полузащитник,10,16
Moldova,Дроздов Онуфрий Елисеевич,Manchester United,нападающий,3,25
Jamaica,Федосеев Якуб Феодосьевич,Ferencvárosi TC,полузащитник,8,4
Anguilla,Щукин Аверкий Демьянович,Grasshopper Club Zürich,защитник,7,27
Cayman Islands,Козлов Амос Харлампович,Olimpia,вратарь,5,-24
Dominican Republic,Бобров Остап Артурович,Chelsea,защитник,8,27
Bhutan,Горбунов Клавдий Иосипович,IFK Göteborg,нападающий,10,24
Solomon Islands,Сафонов Артемий Адамович,Panathinaikos,защитник,1,24
Sudan,Назаров Платон Марсович,Partizan,защитник,9,1
Turkmenistan,Беляев Богдан Теймуразович,Benfica,вратарь,5,-17
Jordan,Ермаков Тихон Иларионович,Porto,полузащитник,8,28
Mali,Егоров Адам Ильич,Libertad,полузащитник,8,6
Marshall Islands,Третьяков Ефрем Феофанович,Ferencvárosi TC,защитник,10,28
Reunion,Шаров Лев Артемьевич,Olympiacos,вратарь,3,-21
Kyrgyzstan,Степанов Творимир Тарасович,Palmeiras,полузащитник,9,1
Belarus,Ширяев Корнил Андреевич,São Paulo,вратарь,8,-16
Sierra Leone,Смирнов Валентин Тимурович,Porto,полузащитник,6,16
Macau,Попов Устин Александрович,Torino,вратарь,5,-5
Macedonia,Белоусов Софрон Демидович,Inter Milan,полузащитник,9,15
Peru,Филатов Всемил Аверьянович,Atlético Nacional,нападающий,1,18
Cameroon,Морозов Ярополк Юльевич,Linfield,защитник,6,22
United States,Шестаков Фока Геннадиевич,Hajduk Split,защитник,10,14
Venezuela,Третьяков Самуил Ануфриевич,Arsenal,полузащитник,3,30
Greenland,Титов Венедикт Арсеньевич,Flamengo,полузащитник,5,1
Italy,Родионов Ладимир Архипович,Grêmio,нападающий,4,15
Yemen,Андреев Творимир Данилович,Sporting,полузащитник,10,15
Niger,Комаров Герман Терентьевич,Austria Wien,нападающий,10,6
Reunion,Петров Гурий Тихонович,Malmö,полузащитник,1,27
Benin,Якушев Зиновий Алексеевич,Rapid Wien,вратарь,4,-9
Djibouti,Пестов Кир Арсенович,Athletic Bilbao,вратарь,6,-25
Sri Lanka,Осипов Фома Архипович,Palmeiras,защитник,1,24
Finland,Казаков Радован Филатович,Werder Bremen,защитник,7,10
Solomon Islands,Рыбаков Станимир Ермолаевич,Olympique Marseille,вратарь,1,-24
Belarus,Мартынов Ювеналий Власович,Cerro Porteño,защитник,5,30
Aruba,Попов Ферапонт Валентинович,Palmeiras,полузащитник,10,18
Equatorial Guinea,Буров Валерьян Давидович,Zamalek,вратарь,9,-23
Cape Verde,Сорокин Кондратий Вилорович,Galatasaray,защитник,7,17
French S. Territories,Суханов Влас Фёдорович,Hajduk Split,полузащитник,10,23
Spain,Кудряшов Эдуард Трифонович,São Paulo,вратарь,3,-8
Norway,Красильников Исидор Герасимович,Anderlecht,вратарь,5,-7
Djibouti,Овчинников Рубен Феофанович,Red Star Belgrade,вратарь,2,-16
French Polynesia,Кулагин Наум Герасимович,Zamalek,нападающий,7,15
Kazakhstan,Гуляев Аверьян Архипович,Juventus,полузащитник,2,15
Gambia,Кулагин Ювеналий Валерианович,Barcelona,защитник,4,3
Tunisia,Романов Парамон Елисеевич,Porto,вратарь,2,-18
Indonesia,Логинов Соломон Вячеславович,Spartak Moscow,нападающий,7,25
Papua New Guinea,Селезнев Филарет Аксёнович,Hajduk Split,нападающий,3,15
Antigua And Barbuda,Игнатов Филимон Бенедиктович,Újpest,вратарь,2,-2
Liberia,Артемьев Галактион Ефимович,Valencia,вратарь,10,-1
Virgin Islands (British),Ширяев Семен Фокич,Bayern Munich,полузащитник,5,27
Kiribati,Носов Дементий Теймуразович,Austria Wien,вратарь,10,-5
Micronesia,Богданов Иван Владиславович,Al Ahly,вратарь,10,-9
Macedonia,Романов Фотий Филиппович,Feyenoord,вратарь,2,-14
Yemen,Субботин Остап Геннадиевич,Universitario,полузащитник,8,16
Monaco,Семенов Самсон Теймуразович,A.C. Milan,полузащитник,7,3
Liberia,Веселов Филимон Эдуардович,Juventus,защитник,4,17
Bosnia And Herzegowina,Никифоров Ефим Валерьянович,Inter Milan,защитник,4,1
Lebanon,Савельев Вышеслав Анатольевич,Racing,защитник,4,22
Russian Federation,Мамонтов Митофан Адамович,Corinthians,полузащитник,3,28
Peru,Афанасьев Андрей Гертрудович,Fiorentina,полузащитник,1,15
East Timor,Щукин Севастьян Дорофеевич,Hajduk Split,защитник,9,2
Liechtenstein,Зимин Авдей Эдуардович,Espérance,нападающий,4,14
Djibouti,Якушев Селиверст Изотович,Girondins de Bordeaux,нападающий,1,23
Mayotte,Кулаков Селиван Германович,Barcelona,защитник,5,1
